response_id,employee_id,hours_worked,overtime_hours,total_cost,date_logged
1,33,9.39,5.75,5878.97,2020-05-01
2,54,17.73,5.71,2655.61,2023-09-01
3,45,9.26,0.51,5830.97,2023-07-18
4,88,5.61,0.02,122.86,2021-07-06
5,19,10.35,5.53,3972.71,2020-07-29
6,27,10.84,0.92,8821.18,2023-08-08
7,69,15.88,6.93,3063.19,2020-03-18
8,92,12.23,4.45,8018.83,2020-01-15
9,33,19.87,0.73,7094.36,2022-01-02
10,45,7.14,3.83,5802.26,2020-09-05
11,7,16.97,0.38,2944.4,2020-06-07
12,11,12.09,7.81,7703.11,2020-06-06
13,89,17.35,9.99,4888.78,2021-04-08
14,62,11.02,7.01,1704.73,2021-07-20
15,9,9.64,3.33,8903.54,2020-03-02
16,14,5.06,2.51,406.18,2021-10-12
17,57,14.87,5.32,4471.39,2023-06-02
18,32,12.14,8.2,1319.31,2022-05-01
19,80,16.57,5.73,2813.48,2023-11-17
20,18,7.3,7.49,4873.65,2021-04-30
21,95,18.82,4.73,9495.68,2023-05-24
22,65,18.01,0.05,6408.97,2023-09-08
23,27,7.8,1.47,5744.43,2020-07-28
24,4,12.47,2.51,4926.28,2022-05-08
25,16,15.18,7.81,8848.71,2020-07-25
26,11,7.22,9.95,7360.78,2021-05-20
27,95,6.07,2.44,5983.96,2022-12-03
28,14,16.93,2.9,318.99,2020-06-13
29,32,16.2,7.98,4758.3,2023-04-09
30,63,9.91,9.5,4312.04,2020-03-03
31,52,15.63,7.09,4181.93,2020-08-18
32,14,11.21,3.24,4329.31,2022-08-20
33,98,8.18,7.56,7178.27,2020-11-30
34,9,18.9,9.07,3860.18,2021-09-01
35,36,13.14,1.21,9019.62,2021-05-23
36,8,10.74,9.31,7353.98,2021-05-22
37,63,12.95,7.98,5513.99,2023-06-08
38,24,5.03,5.31,6225.26,2022-07-22
39,53,13.41,5.84,6948.7,2020-03-27
40,7,5.55,8.55,9638.14,2021-09-25
41,20,10.57,9.81,7785.59,2023-12-09
42,93,15.68,5.98,5851.28,2023-09-02
43,73,14.06,3.86,9662.09,2023-02-22
44,10,13.64,1.16,1630.84,2020-04-24
45,93,14.65,2.3,8127.59,2021-04-18
46,89,13.67,3.31,5287.56,2020-09-30
47,62,7.97,5.19,6462.2,2020-06-21
48,67,13.24,9.4,6078.73,2023-12-31
49,93,12.89,6.8,7303.45,2022-08-12
50,26,16.44,2.46,8813.89,2023-03-20
